,City ID,confirm name,Confirm Country,Latitude,Longitude,Temp Kelvin,Temp C,Temp F,Humidity (RH)%,Cloud% Cover,wind speed (m/s),wind speed (mph),Time stamp
104,2278158,Buchanan,LR,5.88,-10.05,301.15,28.0,82.0,75,94,3.31,7.36,['20 Oct 2020 08:22:19']
105,160971,Bukene,TZ,-4.23,32.88,304.44,31.0,88.0,29,43,2.57,5.71,['20 Oct 2020 08:22:19']
106,217745,Bumba,CD,2.18,22.47,302.4,29.0,85.0,60,98,1.36,3.02,['20 Oct 2020 08:22:19']
107,217637,Businga,CD,3.33,20.88,300.37,27.0,81.0,89,65,1.66,3.69,['20 Oct 2020 08:22:19']
108,2075265,Busselton,AU,-33.65,115.33,288.51,16.0,60.0,55,15,6.02,13.38,['20 Oct 2020 08:22:19']
109,217562,Butembo,CD,0.15,29.28,290.73,18.0,64.0,95,100,1.22,2.71,['20 Oct 2020 08:22:19']
110,1586443,Ca Mau,VN,9.18,105.15,299.38,26.0,79.0,85,93,1.84,4.09,['20 Oct 2020 08:22:19']
111,3404558,Cabedelo,BR,-6.98,-34.83,301.15,28.0,82.0,65,75,7.2,16.0,['20 Oct 2020 08:22:19']
112,3985710,Cabo San Lucas,MX,22.89,-109.91,297.43,24.0,76.0,69,5,5.1,11.33,['20 Oct 2020 08:22:19']
113,2270385,Camacha,PT,33.08,-16.33,295.15,22.0,72.0,68,40,10.8,24.0,['20 Oct 2020 08:22:19']
114,3351014,Camacupa,AO,-12.02,17.48,306.17,33.0,91.0,18,2,2.89,6.42,['20 Oct 2020 08:22:19']
115,6696258,Campbellton,CA,48.01,-66.67,281.21,8.0,47.0,92,100,1.28,2.84,['20 Oct 2020 08:22:19']
116,3531730,Campeche,MX,19.0,-90.5,294.09,21.0,70.0,98,54,0.38,0.84,['20 Oct 2020 08:22:19']
117,1274989,Candolim,IN,15.52,73.76,300.15,27.0,81.0,94,90,2.1,4.67,['20 Oct 2020 08:22:19']
118,934649,Cap Malheureux,MU,-19.98,57.61,299.26,26.0,79.0,65,0,4.02,8.93,['20 Oct 2020 08:22:19']
119,4379968,Cape Girardeau,US,37.38,-89.72,284.98,12.0,53.0,93,90,2.1,4.67,['20 Oct 2020 08:22:19']
120,3369157,Cape Town,ZA,-33.93,18.42,291.89,19.0,66.0,48,20,3.1,6.89,['20 Oct 2020 08:22:19']
121,3664659,Carauari,BR,-4.88,-66.9,299.18,26.0,79.0,81,94,0.86,1.91,['20 Oct 2020 08:22:19']
122,3466980,Caravelas,BR,-17.71,-39.25,298.8,26.0,78.0,77,98,3.61,8.02,['20 Oct 2020 08:22:19']
123,3439159,Colonia Carlos Antonio López,PY,-26.4,-54.77,300.57,27.0,81.0,50,0,2.27,5.04,['20 Oct 2020 08:22:19']
124,2074865,Carnarvon,AU,-24.87,113.63,294.15,21.0,70.0,73,0,8.7,19.33,['20 Oct 2020 08:22:19']
125,3466750,Cassilândia,BR,-19.11,-51.73,296.89,24.0,75.0,83,100,4.28,9.51,['20 Oct 2020 08:22:19']
126,3466704,Castro,BR,-24.79,-50.01,294.46,21.0,70.0,71,48,2.59,5.76,['20 Oct 2020 08:22:19']
127,3350372,Catabola,AO,-12.15,17.28,304.15,31.0,88.0,15,10,4.1,9.11,['20 Oct 2020 08:22:19']
128,2242001,Caxito,AO,-8.58,13.66,302.15,29.0,84.0,62,40,5.1,11.33,['20 Oct 2020 08:22:19']
129,3382160,Cayenne,GF,4.93,-52.33,302.15,29.0,84.0,79,79,2.6,5.78,['20 Oct 2020 08:22:19']
130,3027484,Chalon-sur-Saône,FR,46.78,4.85,291.04,18.0,64.0,55,99,10.8,24.0,['20 Oct 2020 08:22:19']
131,139223,Chālūs,IR,36.66,51.42,297.15,24.0,75.0,64,75,5.1,11.33,['20 Oct 2020 08:22:19']
132,3598787,Champerico,GT,14.3,-91.92,288.98,16.0,60.0,51,98,1.96,4.36,['20 Oct 2020 08:22:19']
133,1274761,Chāndbāli,IN,20.78,86.77,301.23,28.0,83.0,77,38,3.15,7.0,['20 Oct 2020 08:22:19']
134,5919850,Chapais,CA,49.78,-74.85,272.54,-1.0,31.0,97,100,1.49,3.31,['20 Oct 2020 08:22:19']
135,2038087,Chengde,CN,40.97,117.94,284.88,12.0,53.0,49,100,2.34,5.2,['20 Oct 2020 08:22:19']
136,2126199,Cherskiy,RU,68.75,161.3,267.25,-6.0,21.0,97,98,1.24,2.76,['20 Oct 2020 08:22:19']
137,1611197,Chiang Khong,TH,20.26,100.4,293.15,20.0,68.0,100,90,3.1,6.89,['20 Oct 2020 08:22:19']
138,3698359,Chicama,PE,-7.84,-79.15,290.26,17.0,63.0,79,10,1.25,2.78,['20 Oct 2020 08:22:19']
139,1274267,Chichli,IN,22.83,78.82,301.11,28.0,82.0,62,35,1.98,4.4,['20 Oct 2020 08:22:19']
140,610091,Chingirlau,KZ,51.09,54.08,282.69,9.0,49.0,53,80,5.2,11.56,['20 Oct 2020 08:22:19']
141,1181022,Chhor,PK,25.52,69.77,310.54,37.0,99.0,15,0,4.33,9.62,['20 Oct 2020 08:22:19']
142,3443061,Chui,UY,-33.7,-53.46,289.53,16.0,61.0,63,97,8.21,18.24,['20 Oct 2020 08:22:19']
143,3466165,Cidreira,BR,-30.18,-50.21,295.88,23.0,73.0,68,1,2.17,4.82,['20 Oct 2020 08:22:19']
144,4013679,Coahuayana Viejo,MX,18.73,-103.68,296.15,23.0,73.0,78,20,1.39,3.09,['20 Oct 2020 08:22:19']
145,3576994,Cockburn Town,TC,21.46,-71.14,299.15,26.0,79.0,78,40,2.1,4.67,['20 Oct 2020 08:22:19']
146,2401357,Cocobeach,GA,1.0,9.58,303.15,30.0,86.0,74,40,4.1,9.11,['20 Oct 2020 08:22:19']
147,2171099,Codrington,AU,-38.27,141.97,282.09,9.0,48.0,86,100,1.71,3.8,['20 Oct 2020 08:22:19']
148,3894426,Coyhaique,CL,-45.58,-72.07,278.15,5.0,41.0,75,20,1.5,3.33,['20 Oct 2020 08:22:19']
149,2422465,Conakry,GN,9.54,-13.68,301.15,28.0,82.0,78,40,3.1,6.89,['20 Oct 2020 08:22:19']
150,2501152,Constantine,DZ,36.37,6.61,297.15,24.0,75.0,31,0,2.1,4.67,['20 Oct 2020 08:22:19']
151,3893629,Coquimbo,CL,-29.95,-71.34,286.15,13.0,55.0,82,0,4.6,10.22,['20 Oct 2020 08:22:19']
152,4683416,Corpus Christi,US,27.8,-97.4,298.37,25.0,77.0,88,20,3.6,8.0,['20 Oct 2020 08:22:19']
153,2290609,Dabakala,CI,8.37,-4.43,302.61,29.0,85.0,68,78,1.99,4.42,['20 Oct 2020 08:22:19']
154,2253354,Dakar,SN,14.69,-17.44,309.15,36.0,97.0,39,95,5.1,11.33,['20 Oct 2020 08:22:19']
155,2446267,Dakoro,NE,14.51,6.76,310.24,37.0,99.0,9,0,4.22,9.38,['20 Oct 2020 08:22:19']
156,5937073,Deep River,CA,46.1,-77.5,275.68,3.0,37.0,93,100,1.17,2.6,['20 Oct 2020 08:22:19']
157,339219,Dessie,ET,11.13,39.63,290.21,17.0,63.0,53,64,2.99,6.64,['20 Oct 2020 08:22:19']
158,1337612,Dhidhdhoo,MV,6.88,73.1,301.05,28.0,82.0,79,78,5.92,13.16,['20 Oct 2020 08:22:19']
159,2361373,Diapaga,BF,12.07,1.79,310.37,37.0,99.0,27,0,1.94,4.31,['20 Oct 2020 08:22:19']
160,170691,Dhībān,SY,35.04,40.52,306.86,34.0,93.0,15,24,4.24,9.42,['20 Oct 2020 08:22:19']
161,2445704,Diffa,NE,13.32,12.61,312.14,39.0,102.0,9,0,7.81,17.36,['20 Oct 2020 08:22:19']
162,1714733,Dingle,PH,11.0,122.67,298.13,25.0,77.0,87,100,2.25,5.0,['20 Oct 2020 08:22:19']
163,2563140,Dingli,MT,35.86,14.38,294.68,22.0,71.0,64,20,4.1,9.11,['20 Oct 2020 08:22:19']
164,566027,Dmitriyevka,RU,54.75,55.33,280.54,7.0,45.0,70,75,2.0,4.44,['20 Oct 2020 08:22:19']
165,2445553,Dogondoutchi,NE,13.64,4.03,310.32,37.0,99.0,18,0,1.5,3.33,['20 Oct 2020 08:22:19']
166,290030,Doha,QA,25.29,51.53,306.13,33.0,91.0,41,0,4.1,9.11,['20 Oct 2020 08:22:19']
167,376332,Doka,SD,13.52,35.77,307.57,34.0,94.0,28,3,1.76,3.91,['20 Oct 2020 08:22:19']
168,2445488,Dosso,NE,13.05,3.19,310.43,37.0,99.0,21,0,1.8,4.0,['20 Oct 2020 08:22:19']
